name,website,vertical ,sub vertical,Descripcion / solución ,país ¿dónde se encuentra su principal sede de operaciones? ,ciudad/región ,Estadío actual ,Teléfono ,Mail ,LINKEDIN,INSTAGRAM ,FACEBOOK,X (twitter),Logo ,Founder/s,Founded,Modelo de Negocio,"DESTACADO/ BADGES ¿QUÉ LA HACE ESPECIAL?""",Funding total 2026,ETAPA DE MADUREZ ¿En qué momento del crecimiento está?,ÁREA INFLUENCIA: ¿qué alcance tiene su solución hoy?,"ESTADIO SOLUCIÓN (¿En qué nivel de madurez tecnológica se encuentra tu proyecto?)""",IMPACTO /SOCIOAMBIENTAL,RESULTADO / OUTCOME ¿QUÉ PASÓ CON LA EMPRESA?
Produvia,https://www.produvia-cloud.com/,,,,Israel,"25 Hataasiya St, Raanana, Israel",,,,,,,,https://media.mapme.com/places/e98c1bbe-2a74-44fb-b242-c79a6b430f02/gallery/75eaf18f-73db-48e3-b011-2f1c8e8ca36b.sd,,,,,,,,,,
VideoDubber,https://www.videodubber.com/,,,,Israel,"2 Negev, Airport City, Israel",,,,,,,,N/A,,,,,,,,,,
MotionCooker,https://www.motioncooker.com/,,,,Israel,"66 Rambam, Raanana, Israel",,,,,,,,N/A,,,,,,,,,,
Powtoon,N/A,,,,Israel,"HaArba'a Street 6, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/e850c535-55b9-4997-a61c-432b1848f44a/gallery/f9d124ae-f514-47dd-a04e-0ef559a95979.sd,,,,,,,,,,
Emefcy,https://www.emefcy.com/,,,,Israel,"7 Haeshel, Caesarea, Israel",,,,,,,,N/A,,,,,,,,,,
Idomoo,https://www.idomoo.com/,,,,Israel,"4 HaHarash, Hod Hasharon, Israel",,,,,,,,N/A,,,,,,,,,,
Come2Play - Tel Aviv,https://come2play.com/,,,,Israel,"45 Yehuda Halevi, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
PowerMat,https://www.powermat.com/,,,,Israel,"5 Hasadot, Kiryat Yearim, Israel",,,,,,,,N/A,,,,,,,,,,
justAd,https://www.justad.mobi/,,,,Israel,"3 Ahuzat Bayit, Tel Aviv, Israel",,,,,,,,https://media.mapme.com/places/59210b24-f819-4447-8b55-07ca08864e25/gallery/8a742dfa-68c7-4b45-8724-2a8948bda91d.sd,,,,,,,,,,
NoProblem,https://www.noproblemppc.com/,,,,Israel,"10 Zarchin , Raanana, Israel",,,,,,,,N/A,,,,,,,,,,
MeetMeet,https://www.meetmeet.biz/,,,,Israel,"111 Derch Namir, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
COPYLEAKS,https://www.copyleaks.com/,,,,Israel,"53 nahamani, tel aviv, Israel",,,,,,,,N/A,,,,,,,,,,
SpeedAPP,https://www.speedapp.co.il/,,,,Israel,"9 Dereh Hashalom, Nesher, Israel",,,,,,,,https://media.mapme.com/places/e37e18c8-4101-4dff-b230-b6244d0d8d0a/gallery/a4700f13-9df0-466f-97e4-1e85b5b0ce24.sd,,,,,,,,,,
storyboard,https://storyboard.me/,,,,Israel,"5 Bar Yochai, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
NETO,https://netoco.wwwnlssr3.supercp.com/,,,,Israel,"Sha'arei Tshuva 1, Modi'in Ilit",,,,,,,,https://media.mapme.com/places/67ef7eb4-d6fd-44d2-bf03-04dd7fe83e99/gallery/9e7b9a43-c6fb-414e-855b-48fb19589a7f.sd,,,,,,,,,,
Analoc,https://analoc.com/,,,,Israel,"7 Atidim , Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Zula,https://zulaapp.com/,,,,Israel,"7 Dubnov, Tel Aviv, Israel",,,,,,,,https://media.mapme.com/places/275efb7d-decf-4689-abf0-5653257bc713/gallery/6da96218-6922-47ae-a912-245bf1c545ba.sd,,,,,,,,,,
Transceptar Lab,https://www.transceptar.com/,,,,Israel,"Keren ha-Yesod Street 2, Tirat Carmel, Israel",,,,,,,,https://media.mapme.com/places/9fa0386c-1f42-4697-bded-0c182138e99b/gallery/e44d8666-776a-4b9c-a3b2-66a4b261a73d.sd,,,,,,,,,,
Kaymera,https://www.kaymera.com/,,,,Israel,"85 Medinat Hayehudim , Herzelia, Israel",,,,,,,,https://media.mapme.com/places/823a184b-3de3-40b2-b0b0-772544ce07a7/gallery/9ff88633-f04f-45ab-adf7-f5539664cc1b.sd,,,,,,,,,,
eRated,https://erated.co/,,,,Israel,"98 Igal Alon, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
WeSEE,https://www.wesee.com/,,,,Israel,"22 Maskit, Herzliya, Israel",,,,,,,,N/A,,,,,,,,,,
webstockpro,https://www.webstockpro.com/,,,,Israel,"Rosh Haayin, Rosh Haayin, Israel",,,,,,,,N/A,,,,,,,,,,
TherapyEverywhere,https://therapyeverywhere.com/,,,,Israel,"17 Shevet Binyamin, Givat Zeev, Israel",,,,,,,,https://media.mapme.com/places/67a6cb62-79aa-4454-ad5a-2a4771cff109/gallery/0b5e3eb4-2c05-4a85-a6f1-bc784b043627.sd,,,,,,,,,,
Easy Social Shop,https://www.easysocialshop.com/,,,,Israel,"21 Rothschild Boulevard, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Fusic,https://www.fusic.com/,,,,Israel,"22 Saadya Gaon, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Gryphonet,https://www.gryphonet.com/,,,,Israel,"1 Shabazi, Yehud-Monosson, Israel",,,,,,,,N/A,,,,,,,,,,
OpenLM,https://www.openlm.com/,,,,Israel,"1 Beit Theresienstadt, Kibbutz Givat Haim Ihud, Israel",,,,,,,,https://media.mapme.com/places/dd5445e0-9194-43bb-aae4-a0ee37fe2b97/gallery/e3c81bcd-7c8f-47e0-a314-a5b65f7c7575.sd,,,,,,,,,,
JoyTunes,https://www.joytunes.com/,,,,Israel,"43 HaNatsiv, Tel Aviv, Israel",,,,,,,,https://media.mapme.com/places/3ded1853-e9d0-42d0-9f40-d3ad9aa08e4d/gallery/0e18328c-d812-409d-b472-9e027c373d75.sd,,,,,,,,,,
Numbeez,https://www.numbeez.com/,,,,Israel,"16 Atir Yeda, Kfar Saba, Israel",,,,,,,,N/A,,,,,,,,,,
eToro,https://www.etoro.com/,,,,Israel,"32 Habarzel, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
WeFind,https://trywefind.com/,,,,Israel,"SOSA, Schocken Street, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/5282a58f-0c94-4f82-a2c5-e1345205df04/gallery/5a336c9d-d91d-4755-8416-8d1c362bc4c0.sd,,,,,,,,,,
Vidoco,https://www.vidoco.com/,,,,Israel,"6 Avnei Hahoshen , Ramat Gan, Israel",,,,,,,,N/A,,,,,,,,,,
Twine Solutions,https://twine-s.com/,,,,Israel,"Imber St 14, Petah Tikva, Israel",,,,,,,,https://media.mapme.com/places/5fa88722-2b63-4b24-8e3b-938e1564065b/gallery/481fee70-4779-49ac-87c9-f3df7aa5d9f4.sd,,,,,,,,,,
OcuCloud Cloud Security,https://www.ocucloud.com/,,,,Israel,28 Itzhak Sadeh St. Tel Aviv,,,,,,,,https://media.mapme.com/places/54bee2f1-d7ba-4a9f-93b4-62097d5b1990/gallery/8576f141-7f57-4776-b153-08912f57a33b.sd,,,,,,,,,,
SimpleOrder,https://www.simpleorder.co.il/,,,,Israel,"117 Hachashmonaim Street, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Jops,https://jops.co.il/,,,,Israel,"14 Ben ezra, tel aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Polycoin,https://www.polycoin.io/,,,,Israel,"30 Kibbutz Galuyot, Even Yehuda, Israel",,,,,,,,N/A,,,,,,,,,,
Boxee,https://www.boxee.tv/,,,,Israel,"16 Ha'arbaa, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
GlimpseDash,https://www.glimpsedash.com/,,,,Israel,"Rishon LeTsiyon, Israel",,,,,,,,https://media.mapme.com/places/56410a4d-7d35-490e-b49e-0bff9fb8b28a/gallery/e69bec8f-1e62-4f93-ad74-fb54d97873d2.sd,,,,,,,,,,
syncmart,https://www.syncmart.io/,,,,Israel,harav bloy 6,,,,,,,,N/A,,,,,,,,,,
Nanny2Go,N/A,,,,Israel,"HaBalan Street 3, Eilat, Israel",,,,,,,,https://media.mapme.com/places/b05c53da-efcb-47d0-82a3-ead476c3361f/gallery/d5f91d0a-49e3-4c01-8c81-8a2394073d43.sd,,,,,,,,,,
Minute,https://spoteam.com/,,,,Israel,"9 hataasiya , tel aviv, Israel",,,,,,,,N/A,,,,,,,,,,
JJF Media,https://www.jjfmedia.com/,,,,Israel,"32 Tuval, Ramat-Gan, Israel",,,,,,,,https://media.mapme.com/places/0e1f9dd8-f32c-468f-9669-2c5129d3deff/gallery/4cc3cb57-b5e4-4f38-9d59-6399a7ef748f.sd,,,,,,,,,,
Spikko,https://www.spikko.com/,,,,Israel,"3 Menorat HaMaor, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Big Link,https://www.link-big.com/,,,,Israel,"2233, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/34b7631b-042b-472c-bf47-44015937839c/gallery/5628dcac-cd30-4290-abee-48c43ee04579.sd,,,,,,,,,,
Healables - Biotech,https://healables.io/,,,,Israel,"ניסן ב""ק, Jerusalem, Israel",,,,,,,,https://media.mapme.com/places/0640bd3f-a857-4a77-a45c-6f1613e5bf33/gallery/64e12b77-2898-4ec4-ba72-b6c22d8333db.sd,,,,,,,,,,
Mantis Vision,https://www.mantis-vision.com/,,,,Israel,"24 Imber, Petah Tikva, Israel",,,,,,,,N/A,,,,,,,,,,
Wispa,https://www.wispa.com/,,,,Israel,"262 HaYarkon, Tel Aviv, Israel",,,,,,,,https://media.mapme.com/places/cd322d1e-d791-45e5-a292-921ddb8dfd78/gallery/1d7f87a1-28ff-43f2-9b85-687be8c139e7.sd,,,,,,,,,,
VeedyBox,https://www.veedybox.com/,,,,Israel,"HaMenofim 8, Herzliya, Israel",,,,,,,,N/A,,,,,,,,,,
Arideas,https://www.arideas.com/,,,,Israel,"26 HaTsiyonut, Ashdod, Israel",,,,,,,,N/A,,,,,,,,,,
Mekomy,https://www.mekomy.com/,,,,Israel,"14 HaZeitim, Herzliya, Israel",,,,,,,,N/A,,,,,,,,,,
Juno Lab,N/A,,,,Israel,"Menachem Begin Road 23, Tel Aviv-Yafo, Israel",,,,,,,,N/A,,,,,,,,,,
Nicevend,https://www.nicevend.com/,,,,Israel,"12 modiin, Petah Tikva, Israel",,,,,,,,N/A,,,,,,,,,,
Spirala,https://spira.la/,,,,Israel,"5 Sderot HaVatikim, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
BioGaming,https://www.biogaming.com/,,,,Israel,"4 HaNehoshet, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Comeet,https://www.comeet.co/,,,,Israel,"Derech Menachem Begin 121-123, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/413785c3-fc13-4f27-aff7-2ecae1318b40/gallery/fd492ff3-4439-46ee-b649-4e479d36cd0c.sd,,,,,,,,,,
Appsfire,https://www.appsfire.com/,,,,Israel,"195 Ibn Gvirol, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Continuse Biometrics,https://www.cu-bx.com/,,,,Israel,"Kiryat Atidim, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/1f75b92d-9ac7-4dd8-8b56-1abc7d8b4b8c/gallery/f48aba86-985f-49f8-942a-5d8b90540111.sd,,,,,,,,,,
Nanosynex,N/A,,,,Israel,"Hovevei Tsiyon Street 22, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/6aa8002a-f486-41fc-80c0-89fc92064004/gallery/c07c5992-c722-4e8f-b50e-94f0fd44c76e.sd,,,,,,,,,,
PostAround me,https://postaround.me/,,,,Israel,"2 Bitsaron, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Wave Guard Technologies,https://www.waveguardtech.com/,,,,Israel,"25 Hataas, Kfar-Saba, Israel",,,,,,,,N/A,,,,,,,,,,
BioControl Medical,https://www.biocontrol-medical.com/,,,,Israel,"3 Avraham Giron, Yehud-Monosson, Israel",,,,,,,,N/A,,,,,,,,,,
AppendAd,https://www.appendad.com/,,,,Israel,"14 Nahmani, Tel Aviv, Israel",,,,,,,,https://media.mapme.com/places/d3e844d7-003d-47dd-9391-526959e866d8/gallery/168cff00-f040-47ce-8cce-3f4f4e2a0d3d.sd,,,,,,,,,,
Sababa,N/A,,,,Israel,"HaBalan Street 3, Eilat, Israel",,,,,,,,https://media.mapme.com/places/5d599d36-fa03-4e38-b463-6946a2b37855/gallery/0dd8d298-c497-4532-9337-9dcc32fa6990.sd,,,,,,,,,,
Medicamind Connections,https://qure.md/,,,,Israel,"2 Hamelacha, Netanya, Israel",,,,,,,,N/A,,,,,,,,,,
Ecoloox,https://www.ecoloox.com/,,,,Israel,"10 Hagdud Haivri, Ashkelon, Israel",,,,,,,,https://media.mapme.com/places/4d0189b3-fcf0-40b9-b2bb-cfd37e2462df/gallery/7c016b9e-468b-413e-b0a7-ba3d5b59e090.sd,,,,,,,,,,
Tbus,https://tbus.co.il/,,,,Israel,"Nerot Shabat St, Jerusalem",,,,,,,,https://media.mapme.com/places/5cb2e54f-ff94-46b2-9b97-d7445fe9b329/gallery/123b7484-0bfe-4afa-8667-0a9b7c28cd86.sd,,,,,,,,,,
B-Shoe,https://www.b-shoe.com/,,,,Israel,"Haifa, Israel",,,,,,,,N/A,,,,,,,,,,
Zizio,https://www.zizio.com/,,,,Israel,"14 Raoul Wallenberg, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
TeleMessage,https://www.telemessage.com/,,,,Israel,"17 Ha-Mefalsim, Petah Tikva, Israel",,,,,,,,https://media.mapme.com/places/f6b17090-37d1-45d3-8f02-47ec83555cf6/gallery/62a64536-a792-4623-8808-2c295564c22c.sd,,,,,,,,,,
Signcopa Technologies,https://www.signcopatech.com/,,,,Israel,"10 Dan, Givat Ela, Israel",,,,,,,,N/A,,,,,,,,,,
Solvesting,https://www.solvesting.com/,,,,Israel,"7 Atidim, Tel Aviv, Israel",,,,,,,,https://media.mapme.com/places/fb23f690-08e6-40a6-896e-ada753d741b8/gallery/d35129f1-51a9-4611-ac5c-9bd62b128ac7.sd,,,,,,,,,,
Oribi,https://oribi.io/,,,,Israel,"Ha-Barzel Street 33, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/711c6f4c-9253-46a8-9957-3defcaa2463c/gallery/56e9677f-0b98-47c8-972a-12425c1da192.sd,,,,,,,,,,
Emmett Global,https://www.emmettglobal.com/,,,,Israel,"619 Adam, Jerusalem, Israel",,,,,,,,https://media.mapme.com/places/2af05beb-3d05-4a9d-9df7-8a34562177d7/gallery/7f0497e1-ace7-4fb1-829d-5ad85e8284be.sd,,,,,,,,,,
Landbridge,https://lbg.la/,,,,Israel,"1 HaMagid, Jerusalem, Israel",,,,,,,,N/A,,,,,,,,,,
Celebrator,https://www.celebrator.co.il/,,,,Israel,"22 Maskit, Herzliya, Israel",,,,,,,,N/A,,,,,,,,,,
Traido,https://traido.biz/,,,,Israel,"13 Shocken, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Feng-GUI,https://www.feng-gui.com/,,,,Israel,"11 Yehiel Paldi, Rehovot, Israel",,,,,,,,N/A,,,,,,,,,,
OwnBackup,https://www.ownbackup.com/,,,,Israel,"Arye Shenkar Street 13, Herzliya, Israel",,,,,,,,https://media.mapme.com/places/668ea15c-86af-4763-8862-03d597502cc6/gallery/97e289ce-9cfa-4ac3-8955-2f5107d59094.sd,,,,,,,,,,
Nurego,https://www.nurego.com/,,,,Israel,"1 Maskit , Herztelya, Israel",,,,,,,,https://media.mapme.com/places/1ec8867b-1a0a-4d32-9fce-a1e490db266b/gallery/0f7d11ff-c86d-490c-aa2c-673a03c8e1f3.sd,,,,,,,,,,
Homie,https://www.homie.co.il/,,,,Israel,"36 Frug, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
3dInteractive,https://www.3dimotion.com/,,,,Israel,"12 Nahliel, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Hardenite,https://hardenite.com/,,,,Israel,27 Maskit st. Herzeliya,,,,,,,,N/A,,,,,,,,,,
Lessoons,https://www.lessoons.co.il/,,,,Israel,"72 Zeev Orlov, Petah Tikva, Israel",,,,,,,,https://media.mapme.com/places/ad6a5e4d-1c8d-4fa1-bad0-5ba52bca9d88/gallery/5539f5e6-84e4-47dc-a644-793290a5b431.sd,,,,,,,,,,
indeni,https://www.indeni.com/,,,,Israel,"Isserles St 22, Tel Aviv-Yafo, Israel",,,,,,,,N/A,,,,,,,,,,
LiFeBond,https://www.life-bond.com/,,,,Israel,"Caesarea Maritima, Israel",,,,,,,,N/A,,,,,,,,,,
PalTip,https://www.paltip.com/,,,,Israel,"Derech Menachem Begin, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Zazoo,https://www.zazoo.it/,,,,Israel,"7 Giborei Israel, Netanya, Israel",,,,,,,,N/A,,,,,,,,,,
rebookey.com,https://www.rebookey.com/,,,,Israel,"HaDekel 20, Even Yehuda, Israel",,,,,,,,N/A,,,,,,,,,,
DMWay Analytics,https://dmway.com/,,,,Israel,"Hebron Road 24, Jerusalem",,,,,,,,https://media.mapme.com/places/15f59c6e-36a3-4175-b422-50d5c3a0bd33/gallery/3333ea13-36c9-430e-af9c-b0c4f55ecbdc.sd,,,,,,,,,,
Make A Point,https://www.howtomakeapoint.com/,,,,Israel,"Yossef Hanessi 12, Tel-Aviv, Israel",,,,,,,,https://media.mapme.com/places/66901d6f-ff4b-4172-bca3-d6043622c4b0/gallery/20f9bdda-de20-4c6e-82fb-668c28bf0330.sd,,,,,,,,,,
CliniCrowd,https://clinicrowd.info/,,,,Israel,"BE-All, Yigal Alon St 94, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/fa2842a4-7d1d-43b8-a944-67de78245974/gallery/a47e85ed-8698-4709-ac3c-f69fec78b827.sd,,,,,,,,,,
Amenity Analytics,https://www.amenityanalytics.com/,,,,Israel,"Ha-Sivim St 30, Petah Tikva, Israel",,,,,,,,https://media.mapme.com/places/24c32a5e-9936-431f-9afb-373e76766b21/gallery/f1899c8d-77a5-4374-a192-d519d8fc7d5c.sd,,,,,,,,,,
Qwilt,https://www.qwilt.com/,,,,Israel,"8 HaNagar, Hod HaSharon, Israel",,,,,,,,N/A,,,,,,,,,,
The Jerusalem Gift Shop,https://www.thejerusalemgiftshop.com/,,,,Israel,"7 Yoel Moshe Solomon, Jerusalem, Israel",,,,,,,,https://media.mapme.com/places/eafd667d-b765-41e0-bc74-8e3ea1b47c91/gallery/a599a34b-6429-42a7-884e-9adcb11e1cbc.sd,,,,,,,,,,
Praxell Inc,https://praxell.com/,,,,Israel,"1 Hamada , Rehovot, Israel",,,,,,,,N/A,,,,,,,,,,
TicTacTi,https://www.tictacti.com/,,,,Israel,"19 Tel Aviv Port, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
CUPS,https://www.cupstelaviv.com/,,,,Israel,"2 HaShfela, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Shmuli Goldberg,https://www.identiq.com/,,,,Israel,3 HaNehoshet Street,,,,,,,,N/A,,,,,,,,,,
TheHomeFixers,https://thehomefixers.com/,,,,Israel,"Tsela ha-Har Street 1, Modi'in-Maccabim-Re'ut, Israel",,,,,,,,https://media.mapme.com/places/819f643c-5d77-4691-9354-b90df25d7766/gallery/8fca733d-9a2f-423c-a75c-6a239ba43fff.sd,,,,,,,,,,
RevenueStream,https://www.revenue-stream.com/,,,,Israel,"69 Habanim, Hertzliyya, Israel",,,,,,,,N/A,,,,,,,,,,
Caaresys,N/A,,,,Israel,"Ha-Hassida 6, Netanya",,,,,,,,https://media.mapme.com/places/c2d72f4f-65bd-48f6-9a26-ebccdfb4c4be/gallery/0e42ce42-d837-4ad3-b74c-acf85221cbcf.sd,,,,,,,,,,
WORKCAPITAL,https://work.capital/,,,,Israel,"Kinneret Street, Bnei Brak, Israel",,,,,,,,https://media.mapme.com/places/f3ca6eac-26a6-46db-bb0a-2340df9f788b/gallery/b3839b4c-b978-496f-9ce1-ba1e307f7525.sd,,,,,,,,,,
Meganeev Studios,https://www.meganeev.com/,,,,Israel,"6 Moshe Sharet, Rishon Lezion, Israel",,,,,,,,N/A,,,,,,,,,,
Life-Beam Technologies,https://life-beam.com/,,,,Israel,"24 Rothschild, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
TOMODO,https://tomodo.com/,,,,Israel,"2 Tushiya, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Manage Your Trip Ltd,https://www.manageyourtrip.com/,,,,Israel,"David Pinkas 45, נתניה, ישראל",,,,,,,,N/A,,,,,,,,,,
Actus Digital,https://www.actusdigital.com/,,,,Israel,"24 Raoul Wallenberg, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Online Content Manager,https://www.naturalint.com/career,,,,Israel,"מנחם בגין 37, תל אביב יפו, ישראל",,,,,,,,N/A,,,,,,,,,,
Ruckus Wireless,https://www.ruckuswireless.com/,,,,Israel,"7 Sderot Giborei Israel, Netanya, Israel",,,,,,,,N/A,,,,,,,,,,
iMingle,https://www.imingle-app.com/,,,,Israel,"Hana and Mordekhai Veisser, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
We-Test,https://www.we-test.com/,,,,Israel,"11 asher peled, hadera, Israel",,,,,,,,N/A,,,,,,,,,,
Exigence Ltd.,https://www.exigence.io/,,,,Israel,13/2 Mishol Hauzrad St. Jerusalem,,,,,,,,https://media.mapme.com/places/e599fa58-b8a4-4b1d-aa9e-4750b94340ec/gallery/1238a166-684e-4100-8e28-2d696fa8f787.sd,,,,,,,,,,
Weepsi LTD,https://weepsi.com/,,,,Israel,"Eli Sinai 7, Netivot, Israel",,,,,,,,https://media.mapme.com/places/1d1984b6-7fe4-4800-9ad3-c2284f87bfde/gallery/65eab361-20aa-4955-9781-56aec80ade39.sd,,,,,,,,,,
Guiderr,https://www.guider.com/,,,,Israel,"Einstein Street 86, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/760fcb8e-a159-4efc-8dea-324b43d175b0/gallery/bf96e2cb-c985-47cb-ad01-d277446a3a80.sd,,,,,,,,,,
BeyondVerbal,https://www.beyondverbal.com/,,,,Israel,"125 Yigal Alon, tel-aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Doorbellz,https://www.door-bellz.com/,,,,Israel,"136 Rotchild st, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
U GIVE STARS,https://www.ugivestars.com/,,,,Israel,"41 Ben Gurion , Hod Ha Sharon, Israel",,,,,,,,https://media.mapme.com/places/cfb7edb6-15bc-4218-8e8a-045053ed2ac5/gallery/c63f5475-8dd5-4e43-9bdd-006399035535.sd,,,,,,,,,,
BuddyGuards,https://www.buddyguardsapp.com/,,,,Israel,"7 Bar Yochai, TEL AVIV, Israel",,,,,,,,N/A,,,,,,,,,,
LiveU,https://www.liveu.tv/,,,,Israel,"5 HaGavish, Kfar Saba, Israel",,,,,,,,N/A,,,,,,,,,,
Appixia Mobile Commerce,https://appixia.com/,,,,Israel,"7 Abba Hillel, Ramat Gan, Israel",,,,,,,,N/A,,,,,,,,,,
Moving Life,https://www.movinglife.com/,,,,Israel,"HaOfe Street 2, Kadima Tzoran, Israel",,,,,,,,https://media.mapme.com/places/228c6201-ddf4-48e5-b1a8-5f3f0e7d93f8/gallery/5f60b813-3901-4239-8177-3a6105a4363e.sd,,,,,,,,,,
Xjet Solar,https://www.xjetsolar.com/,,,,Israel,"14 Prof. Hillel Vehanan Oppenheimer, Rehovot, Israel",,,,,,,,N/A,,,,,,,,,,
Farmigo,https://www.farmigo.com/,,,,Israel,"Prof. Schorr Street 1, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/390c2e22-f59e-4d63-ac6c-e2666ddc8530/gallery/80bcb305-0b59-4282-9352-a0042cd63d09.sd,,,,,,,,,,
Challengio,https://www.challengio.com/,,,,Israel,"14 Isserles, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
All My Faves,https://www.allmyfaves.com/,,,,Israel,"39 Bilu, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Anoomi,https://www.anoomi.com/,,,,Israel,"38 Bloch, Tel Aviv, Israel",,,,,,,,https://media.mapme.com/places/3d0308f3-6571-4029-8e0e-247cd725980e/gallery/c0209a3b-55fd-4676-a4a4-940bbe45bfca.sd,,,,,,,,,,
Gaonic,https://www.gaonic.com/,,,,Israel,"HaTa'asiya Street, Ra'anana, Israel",,,,,,,,https://media.mapme.com/places/83008a13-dfee-4763-bc75-e70c7b23c19b/gallery/5bc07406-2c84-49bc-830a-4fecd1307aff.sd,,,,,,,,,,
Zerto,https://www.zerto.com/,,,,Israel,"2 Maskit, Herzliya, Israel",,,,,,,,N/A,,,,,,,,,,
Trustware,https://www.trustware.com/,,,,Israel,"2 HaNehoshet, Tel Aviv, Israel",,,,,,,,N/A,,,,,,,,,,
Invoice Ninja,https://www.invoiceninja.com/,,,,Israel,"10 HaOranim, Pardes Chana, Israel",,,,,,,,https://media.mapme.com/places/3a213e73-49b8-4771-afe1-c6daa6ea6241/gallery/f1f6a77e-333e-4512-892a-2b241ac09b43.sd,,,,,,,,,,
Funtomic,https://funtomic.com/,,,,Israel,"5 Hahilazon, Ramat Gan, Israel",,,,,,,,N/A,,,,,,,,,,
Stealth,N/A,,,,Israel,"HaBalan St 3, Eilat, Israel",,,,,,,,https://media.mapme.com/places/86f99e05-f1c3-4300-adbc-49d45746aa28/gallery/c47447ae-1602-4fdc-bf95-b2eee2f96ec0.sd,,,,,,,,,,
Cyabra,https://www.cyabra.com/,,,,Israel,"Sderot Rothschild 6, Tel Aviv-Yafo, Israel",,,,,,,,N/A,,,,,,,,,,
Cedato,https://cedato.com/,,,,Israel,"HaNagar, Hod Hasharon, Israel",,,,,,,,https://media.mapme.com/places/50a85391-5194-4764-aa68-3d84ff45f59d/gallery/3516c8c9-2177-4eed-b37d-b50e2f066d2e.sd,,,,,,,,,,
Total Media,https://www.totalmedia.co.il/,,,,Israel,"14 a Aba Hilel, Ramat Gan, Israel",,,,,,,,N/A,,,,,,,,,,
OvuCon,https://www.ovucon.com/,,,,Israel,"Montefiore Street 19, Kiryat Ono, Israel",,,,,,,,https://media.mapme.com/places/32bbdde2-228a-4ce7-84f3-cff6ebe125a9/gallery/b0ea9c8f-c2d9-434b-83b6-6972e5ba53de.sd,,,,,,,,,,
Uponit,https://uponit.com/,,,,Israel,"Ahad Ha'Am Street 9, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/50ea4311-ca23-4b28-b078-faaee4b348b2/gallery/477f97de-6f82-491c-8ed4-fa43b6a8dddf.sd,,,,,,,,,,
Loom Systems,https://www.loomsystems.com/,,,,Israel,"Yigal Alon 114, Tel Aviv-Yafo, Israel",,,,,,,,https://media.mapme.com/places/ed3679df-c83a-438d-924a-d281dcb56524/gallery/dc183fac-a70a-46e1-9602-2fd6b7236dde.sd,,,,,,,,,,
Greenbox,https://www.greenboxhq.com/,,,,Israel,"120 Arlozorov, Tel Aviv, Israel",,,,,,,,https://media.mapme.com/places/42fd4460-6b8d-4ff3-a4de-2973a6bcacb1/gallery/7c786419-020e-4612-82c4-f79e95962011.sd,,,,,,,,,,
